OX  X    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08000000000000002,0.0
X   X OXO,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0
X   O OXX,0.0,0.0,0.0,0.08000000000000002,0.0,0.0,0.0,0.0,0.0
    X O X,-0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX OO OXX,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
XOOXOX X ,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
X  XOX   ,-0.06400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OX XO  X ,0.0,0.0,0.0,0.0,0.0,0.008000000000000002,0.0,0.0,0.0
X   X O  ,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,-0.08000000000000002
OX XOO XX,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0
X   XO   ,0.0,0.0,0.0,0.0,0.0,0.0,-0.08000000000000002,-0.08000000000000002,-0.06400000000000002
 XO X    ,-0.1,0.0,0.0,0.0,0.0,-0.08000000000000002,0.0,0.0,0.0
     XO X,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X X XO O ,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0
X X XO  O,0.0,0.0,0.0,0.0,0.0,0.0,-0.08000000000000002,0.0,0.0
O OXX XXO,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 X XO    ,0.006400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXX X  O ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
OX XX  O ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OX X     ,-0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   X     ,0.051200000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXXXXO O ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 XO XO  X,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 X OX    ,-0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    X    ,-0.1376,-0.06400000000000002,-0.20080000000000003,-0.06400000000000002,0.0,0.0,-0.06400000000000002,0.0,0.0
X O XX  O,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OOXXX    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
OOX X   X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
X X  O XO,0.0,0.0,0.0,0.0,0.0,0.0,0.008000000000000002,0.0,0.0
O   X   X,0.0,-0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X   XOOX ,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0
X   X  O ,0.0,-0.1,0.0,0.0,0.0,-0.1,0.0,0.0,-0.08000000000000002
X        ,0.0,-0.08000000000000002,-0.20080000000000003,0.0,-0.029772800000000002,-0.14164480000000004,-0.1376,-0.20080000000000003,-0.06400000000000002
OX OX X  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
        X,-0.06400000000000002,0.0,0.0,0.0,0.0,0.0,-0.08000000000000002,0.0,0.0
X  XOX X ,-0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X   OX   ,0.0,0.0,0.06400000000000002,0.0,0.0,0.0,0.0,0.0,0.0
 X       ,-0.06400000000000002,0.0,0.0,0.0,0.005120000000000002,0.0,0.0,0.0,0.0
X O X    ,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,-0.08000000000000002
XX XOX X ,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O  X  X  ,0.0,0.0,0.06400000000000002,0.0,0.0,0.0,0.0,0.0,0.0
X   O   X,0.0,0.0,0.0,0.0,0.0,0.0,0.06400000000000002,0.0,0.0
OX XX    ,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X   X   O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08000000000000002,0.0
X  XO    ,-0.051200000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O OX  XX ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000002
XO  X    ,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
X XX OOXO,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X X  O   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006400000000000002
  O XX   ,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0
O X X    ,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X   X XOO,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0
X OXOX   ,0.0,0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O  XX O X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
 O XX    ,-0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX  O    ,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0
X X XOOXO,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0
X X X  OO,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0
